,FDR_NULL,log2FC_NULL,FDR_HET,log2FC_HET
Map1b,1.52691867929577e-06,-0.752630835902076,2.73506929451749e-15,-1.06211757672728
Mapt,1.46181788716e-23,-1.46759164178849,4.08903442133649e-22,-1.30812140750407
Mif,1.178971584854e-08,-0.591082201021502,1.19620845548729e-13,-0.988407115362875
Mt2,7.91836968833226e-06,-0.626387519713814,2.66622143236289e-08,-0.361924192338951
Mt3,6.13490720796907e-07,-0.606244224507936,1.10066670758988e-08,-0.783159128976157
Myeov2,6.73082697906973e-10,-0.864336015344432,5.87543519636572e-11,-1.01052152285607
Naca,4.18003022381853e-20,-1.48671654787898,3.72093366938369e-22,-1.39074436254162
Nav1,0.0125345945091168,-0.214909642944956,0.0439613184787087,-0.0879544674151627
Ndufa2,2.26869330991917e-07,-0.78212403786334,3.42342911205654e-07,-0.878932584534761
Ndufa7,0.00974796934661547,-0.616479198289248,6.7477048110296e-09,-0.778210952349372
Ndufb9,8.21627638401693e-18,-1.15254956453723,1.12993939444131e-12,-1.0300789638494
Nedd8,0.0489813258183084,-0.577757780567727,1.22466477979905e-08,-0.969118489004665
Nenf,0.000215221216551324,-0.642072021873188,0.000191824530746667,-0.409010874783018
Nisch,0.00217863682521497,-0.26434694782109,0.00465985342351386,-0.0707046778097885
Nnat,3.92285292685913e-21,-1.48558530722741,1.30330259012234e-22,-1.57789434072281
Npm1,2.15446457650659e-15,-0.867760095779768,9.75483661644957e-09,-0.441625345667742
Nsa2,9.39700551460284e-05,-0.400127399161292,2.00462450552099e-06,-0.188548605840956
Pcp4,5.22930890237776e-35,-2.03422505406196,5.18068248713538e-17,-1.41430724498737
Pcsk1n,0.000102789918902734,-0.360604282664436,1.55329511478604e-05,-0.777224061140356
Pdap1,0.0126186068719226,-0.42412201598637,2.27673799354631e-05,-0.476822516218755
Pebp1,2.06234976754481e-31,-1.69174374020194,1.00108050532398e-36,-1.93101110660857
Pfdn5,3.74428652202195e-19,-1.4265947057009,1.51756871715149e-20,-1.45994440979857
Polr1d,0.000155278095255904,-0.598118647969371,0.00171638275203424,-0.308477718219041
Ppdpf,0.0388322602719696,-0.487748076251624,0.049256488326289,-0.306722132319424
Ppia,1.95705135853524e-34,-0.343362513959736,9.72062628129805e-39,-0.32790325379851
Prdx2,8.24563606107337e-07,-0.954722245401947,3.163301225036e-09,-0.896166255003288
Psma7,0.000991096050829556,-0.591250331004701,0.00473932532593071,-0.552666975375397
Psmg4,0.000200481913004939,-0.338809742643457,0.000117145112054153,-0.180883221204353
Ptgds,5.22233331969177e-58,-1.36802045320417,2.47620742455886e-35,-0.55722513189623
Ptma,4.32529468395452e-12,-1.23313930441566,1.0164365593524e-09,-1.05768206530569
Ptprz1,0.0203003122061075,-0.303056091599272,0.000616195714576206,-0.250905068767339
