"","gene","Pr..Chisq.","fdr","logfc"
"Pfn2","Pfn2",0.000191701761826304,0.00507479128908452,0.226747991334715
"Pglyrp1","Pglyrp1",7.75136617973613e-07,3.91607753333993e-05,-0.180326395769518
"Pin1","Pin1",0.000912953349930019,0.0184155700823121,0.362383245129272
"Pin4","Pin4",9.58956012482294e-05,0.00285458524213609,-0.368265779530506
"Plk2","Plk2",0.00135407943598162,0.0254297535961574,0.187358312056966
"Plpp1","Plpp1",0.000387163286061924,0.00925836471402748,0.108961999126159
"Polr1d","Polr1d",3.44148552351391e-06,0.000155278095255904,-0.598118647969371
"Polr2k","Polr2k",4.5983164455553e-08,2.70396083446014e-06,0.553476148296918
"Polr2l","Polr2l",4.89863049164278e-09,3.22410781165553e-07,0.679692326100179
"Pou3f1","Pou3f1",4.00128196052533e-09,2.68272867147745e-07,0.462476454252327
"Ppdpf","Ppdpf",0.00230222466426764,0.0388322602719696,-0.487748076251624
"Ppfia1","Ppfia1",0.00203099724054107,0.0351093354304618,-0.105527231124835
"Ppia","Ppia",6.27434921191952e-37,1.95705135853524e-34,-0.343362513959736
"Ppp1r13b","Ppp1r13b",0.000819516588227131,0.0169919422079232,-0.0866404938180922
"Ppp1r14c","Ppp1r14c",4.85989647717289e-05,0.00162920080968403,-0.410392063603212
"Ppp1r16b","Ppp1r16b",0.000854380514568773,0.0175123594614754,0.220924537048525
"Prdx1","Prdx1",0.000210377725468711,0.00550821095807494,0.438553219249953
"Prdx2","Prdx2",1.3217844257366e-08,8.24563606107337e-07,-0.954722245401947
"Prkaca","Prkaca",0.000682922197783737,0.0145812019252992,0.232906281978359
"Prpf40a","Prpf40a",0.00142539304858118,0.0262717449183712,-0.0870468117092637
"Psma4","Psma4",0.00127493471518725,0.0241967768432628,-0.337680892850336
"Psma7","Psma7",2.68562841263951e-05,0.000991096050829556,-0.591250331004701
"Psmb3","Psmb3",0.000319255699135038,0.00798028008918037,0.495105389728889
"Psmb7","Psmb7",0.00132233372064068,0.0249642687154638,-0.369812743013217
"Psmg4","Psmg4",4.55513685807151e-06,0.000200481913004939,-0.338809742643457
"Ptgds","Ptgds",8.73543348707851e-61,5.22233331969177e-58,-1.36802045320417
"Ptma","Ptma",3.49689283062953e-14,4.32529468395452e-12,-1.23313930441566
"Ptprz1","Ptprz1",0.00103086368462945,0.0203003122061075,-0.303056091599272
"R3hdm4","R3hdm4",2.07505361935477e-11,1.95874140332251e-09,-0.891959809251375
"Rab11a","Rab11a",7.85264958838667e-06,0.000327528535738872,0.482267275141001
"Rab11b","Rab11b",0.00306286257214009,0.0478446490955066,0.409453794587409
"Rab18","Rab18",0.00122319704567802,0.0234005749485177,0.274704913324604
"Rab1a","Rab1a",0.000945346659737857,0.0188386581582205,0.228750609509516
"Rab28","Rab28",4.04645664241046e-05,0.00140918834721615,0.124475412062466
"Rab3a","Rab3a",0.00260770241928541,0.042340799047296,0.439135079091354
"Rab3d","Rab3d",0.00142821027574084,0.0262717449183712,-0.11952398792371
"Ranbp1","Ranbp1",0.00036482163685568,0.00878265242551223,0.576907384606255
"Rars","Rars",0.00213333488042294,0.036475136983983,0.0888377999494264
"Rbmx2","Rbmx2",0.00140270474074303,0.0261376722340012,-0.11682767041152
"Rbp1","Rbp1",2.57256744888984e-08,1.52691867929577e-06,-0.312394838600194
"Rcn2","Rcn2",0.00233909738255641,0.0392072070618216,0.281036816525487
"Rgs17","Rgs17",0.000148897187953525,0.00409267596313636,-0.215750517418007
"Rgs5","Rgs5",0.00162385610543869,0.0289789644288984,-0.0991134454703699
"Rheb","Rheb",1.87031632480377e-05,0.000729220071420775,0.496359969001936
