"Gene","Direction","Count","Files"
"Hba-a2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Hbb-bs","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Hccs","UP",1,"WTvsNULL"
"Hcfc1r1","DOWN",1,"WTvsNULL"
"Hint1","DOWN",2,"Group2vsGroup1,WTvsHET"
"Hist1h2al",NA,1,"WTvsHET"
"Hist1h2bc","UP",1,"WTvsNULL"
"Hist3h2ba","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Hivep1","DOWN",1,"WTvsNULL"
"Hmgb2","DOWN",2,"Group2vsGroup1,WTvsHET"
"Hmgn1","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Hmgn3","UP",1,"WTvsNULL"
"Hmgn5","DOWN",1,"WTvsNULL"
"Hnrnpab","DOWN",2,"Group2vsGroup1,WTvsHET"
"Hnrnpk","UP",2,"WTvsHET,WTvsNULL"
"Hpca","UP",1,"WTvsHET"
"Hprt","UP",1,"WTvsNULL"
"Hras","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Hsp90aa1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Hsp90ab1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Hspe1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Iah1","DOWN",1,"WTvsNULL"
"Id2","UP",1,"WTvsHET"
"Idh1","UP",1,"WTvsNULL"
"Idh3g","DOWN",2,"WTvsHET,WTvsNULL"
"Ifngr2","UP",1,"WTvsNULL"
"Ift122",NA,1,"Group2vsGroup1"
"Ift20","DOWN",2,"WTvsHET,WTvsNULL"
"Ift74","DOWN",1,"WTvsNULL"
"Igfbp7","DOWN",1,"WTvsNULL"
"Igfbpl1","DOWN",1,"WTvsNULL"
"Iqcc","UP",1,"WTvsNULL"
"Jund","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Kctd13","UP",2,"Group2vsGroup1,WTvsNULL"
"Kdm5b","DOWN",1,"WTvsNULL"
"Kif1a","DOWN",4,"Group2vsGroup1,Tbr1_WTvsTbr1_NULL,WTvsHET,WTvsNULL"
"Kif1b","DOWN",1,"WTvsHET"
"Kif21a","DOWN",1,"WTvsNULL"
"Kif5c","DOWN",1,"WTvsNULL"
"Kifc2","UP",1,"WTvsNULL"
"Ktn1","DOWN",1,"WTvsNULL"
"Lage3","DOWN",1,"WTvsNULL"
"Lamtor1","DOWN",1,"WTvsNULL"
"Lamtor5","DOWN",1,"WTvsNULL"
"Lars","DOWN",1,"WTvsNULL"
"Lgals1","DOWN",1,"WTvsNULL"
"Lin7b","UP",1,"WTvsNULL"
"Lmo3","UP",2,"Group2vsGroup1,WTvsNULL"
"Lmo4","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Lrrc24","UP",1,"WTvsNULL"
"Lsm4","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Lsm5","DOWN",2,"Group2vsGroup1,WTvsHET"
"Lsm7","UP",1,"WTvsNULL"
"Luzp2","DOWN",1,"WTvsNULL"
"Ly6e","DOWN",1,"WTvsNULL"
"Mal2","UP",1,"WTvsNULL"
"Malat1","DOWN",4,"Group2vsGroup1,Tbr1_WTvsTbr1_HET,WTvsHET,WTvsNULL"
"Map1a","DOWN",1,"WTvsNULL"
"Map1b","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Map2","UP",1,"WTvsNULL"
"Mapt","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Marcks","DOWN",1,"WTvsHET"
"Marcksl1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Mcf2l","DOWN",1,"WTvsHET"
"Mcrs1","UP",1,"WTvsHET"
"Mdh1","UP",1,"Group2vsGroup1"
"Mdh2","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Med25","UP",1,"WTvsNULL"
"Mef2c","UP",1,"WTvsNULL"
"Meg3","DOWN",1,"WTvsNULL"
"Metrn","DOWN",1,"WTvsNULL"
"Mfge8","DOWN",1,"WTvsHET"
"Mgst3","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Micall1",NA,1,"Group2vsGroup1"
"Mif","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Minos1","DOWN",2,"Group2vsGroup1,WTvsHET"
"Mlc1","DOWN",1,"WTvsNULL"
"Mllt11","UP",4,"Group2vsGroup1,Tbr1_WTvsTbr1_HET,WTvsHET,WTvsNULL"
"Mmd","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Mmp14","DOWN",1,"WTvsNULL"
"Mn1","UP",1,"WTvsNULL"
"Mocs2","DOWN",2,"Group2vsGroup1,WTvsHET"
"Morf4l1","UP",1,"WTvsNULL"
"Mpc1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Mphosph8","DOWN",1,"WTvsNULL"
"Msmo1","UP",1,"WTvsNULL"
"Mt1","DOWN",2,"Group2vsGroup1,WTvsHET"
"Mt2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Mt3","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Myeov2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Myl6","DOWN",2,"Group2vsGroup1,WTvsHET"
"N4bp2l2","DOWN",1,"WTvsNULL"
"Naca","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Nap1l1","DOWN",2,"Group2vsGroup1,WTvsHET"
"Napa","UP",1,"Group2vsGroup1"
"Nav1","DOWN",2,"WTvsHET,WTvsNULL"
"Ncald","UP",2,"Group2vsGroup1,WTvsHET"
"Ncl","DOWN",1,"WTvsNULL"
"Ncs1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ndn","DOWN",2,"Group2vsGroup1,WTvsHET"
"Ndrg2","UP",1,"WTvsHET"
"Ndufa1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ndufa11","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ndufa2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ndufa4","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ndufa7","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ndufaf2","DOWN",1,"WTvsNULL"
"Ndufb2","UP",1,"WTvsNULL"
"Ndufb4","UP",1,"WTvsNULL"
"Ndufb8","UP",1,"WTvsHET"
"Ndufb9","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ndufs4","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Nedd8","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Nefl","UP",2,"Group2vsGroup1,WTvsHET"
"Nenf","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Nipbl",NA,1,"Group2vsGroup1"
"Nisch","DOWN",2,"WTvsHET,WTvsNULL"
"Nme2","DOWN",1,"WTvsNULL"
"Nmral1","DOWN",1,"WTvsNULL"
"Nnat","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Nol4l","DOWN",1,"WTvsNULL"
"Npm1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Npy","UP",1,"WTvsNULL"
"Nrgn","UP",4,"Group2vsGroup1,Tbr1_WTvsTbr1_NULL,WTvsHET,WTvsNULL"
"Nrsn1",NA,1,"Group2vsGroup1"
"Nrxn2","DOWN",1,"WTvsNULL"
"Nsa2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Nsg1","UP",1,"WTvsNULL"
"Nsmf","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Nucks1","DOWN",2,"Group2vsGroup1,WTvsHET"
"Numbl","UP",1,"WTvsNULL"
"Olig1","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Orc4","UP",1,"WTvsNULL"
"Oxct1","DOWN",1,"WTvsNULL"
"Pabpc1","DOWN",1,"Group2vsGroup1"
"Pantr1","UP",1,"WTvsNULL"
"Pcm1","DOWN",1,"WTvsNULL"
"Pcp4","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Pcsk1n","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Pdap1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Pebp1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Pfdn2","UP",1,"WTvsHET"
"Pfdn5","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Pfn1","UP",3,"Group2vsGroup1,Tbr1_WTvsTbr1_NULL,WTvsNULL"
"Pfn2","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Pgls","DOWN",1,"WTvsHET"
"Pglyrp1","DOWN",1,"WTvsNULL"
"Pin1","UP",1,"WTvsNULL"
"Pin4","DOWN",1,"WTvsNULL"
"Plekhm2",NA,1,"Group2vsGroup1"
"Plk2","UP",1,"WTvsNULL"
"Plpp1","UP",1,"WTvsNULL"
"Polr1d","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Polr2k","UP",1,"WTvsNULL"
"Polr2l","UP",1,"WTvsNULL"
"Pou3f1","UP",1,"WTvsNULL"
"Ppdpf","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ppfia1","DOWN",1,"WTvsNULL"
"Ppia","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ppig","DOWN",1,"WTvsHET"
"Ppp1r13b","DOWN",1,"WTvsNULL"
"Ppp1r14b","DOWN",1,"WTvsHET"
"Ppp1r14c","DOWN",1,"WTvsNULL"
"Ppp1r16b","UP",1,"WTvsNULL"
"Ppp2ca","UP",1,"WTvsHET"
"Ppp2r1a","UP",1,"Group2vsGroup1"
"Ppp2r2b","UP",1,"WTvsHET"
"Prdx1","UP",1,"WTvsNULL"
"Prdx2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Prkaca","UP",1,"WTvsNULL"
"Prpf40a","DOWN",1,"WTvsNULL"
"Psma4","DOWN",1,"WTvsNULL"
"Psma7","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Psmb3","UP",2,"WTvsHET,WTvsNULL"
"Psmb7","DOWN",1,"WTvsNULL"
"Psme1","DOWN",1,"Group2vsGroup1"
"Psmg4","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ptgds","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ptma","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ptp4a1","UP",1,"Group2vsGroup1"
"Ptprt",NA,1,"Group2vsGroup1"
"Ptprz1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Qk","DOWN",2,"Group2vsGroup1,WTvsHET"
"R3hdm4","DOWN",1,"WTvsNULL"
"Rab11a","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Rab11b","UP",1,"WTvsNULL"
"Rab18","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Rab1a","UP",2,"WTvsHET,WTvsNULL"
"Rab28","UP",1,"WTvsNULL"
"Rab3a","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Rab3d","DOWN",1,"WTvsNULL"
"Rabep1","DOWN",1,"WTvsHET"
"Ranbp1","UP",1,"WTvsNULL"
"Rars","UP",1,"WTvsNULL"
"Rbmx2","DOWN",1,"WTvsNULL"
"Rbp1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Rcn2","UP",2,"WTvsHET,WTvsNULL"
"Rgcc","DOWN",1,"WTvsHET"
"Rgs17","DOWN",1,"WTvsNULL"
"Rgs5","DOWN",1,"WTvsNULL"
"Rheb","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Rhoa","DOWN",1,"WTvsNULL"
"Rnf152","UP",1,"WTvsNULL"
"Rnf187","DOWN",2,"WTvsHET,WTvsNULL"
"Robo2",NA,1,"Group2vsGroup1"
"Rorb","UP",2,"Group2vsGroup1,WTvsNULL"
"Rph3a","DOWN",1,"WTvsNULL"
"Rprml","UP",1,"WTvsNULL"
"Rrbp1","DOWN",1,"WTvsNULL"
"Rtf1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Rtn1","DOWN",2,"WTvsHET,WTvsNULL"
"Rtn4","DOWN",1,"WTvsNULL"
"S100a11","DOWN",1,"WTvsNULL"
"S100a16","DOWN",1,"Group2vsGroup1"
"Sbk1","UP",1,"WTvsNULL"
"Scand1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Scoc","UP",1,"WTvsHET"
"Sdhb","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Sec61g","DOWN",2,"Group2vsGroup1,WTvsHET"
"Sec62","DOWN",2,"WTvsHET,WTvsNULL"
"Selk","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Selm","UP",1,"WTvsNULL"
"Sep15","UP",1,"WTvsHET"
"Sept7","UP",1,"WTvsHET"
"Sepw1","DOWN",1,"Group2vsGroup1"
"Serbp1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Serf2","DOWN",2,"Group2vsGroup1,WTvsHET"
"Serinc1",NA,1,"WTvsHET"
