"gene" "pval" "padj" "logfc" "method"
"Hspe1" "Hspe1" 1.03672962898282e-14 7.43749835832278e-11 -0.169459840821399 "seurat"
"Mn1" "Mn1" 1.19286210283324e-14 8.55759272572566e-11 0.372116949806451 "seurat"
"Mif" "Mif" 1.3099962134684e-14 9.39791283542229e-11 -0.101549772279107 "seurat"
"Sumo1" "Sumo1" 1.50510184985371e-14 1.07976006708505e-10 0.297484761464001 "seurat"
"Nsa2" "Nsa2" 1.63241823007438e-14 1.17109683825536e-10 -0.252554897790398 "seurat"
"Snhg6" "Snhg6" 2.23438453160423e-14 1.60294746297287e-10 -0.193871691029438 "seurat"
"Arpp21" "Arpp21" 4.48657024495716e-14 3.21866549373227e-10 -0.241444523176637 "seurat"
"Ccdc34" "Ccdc34" 7.39715917331656e-14 5.3067219909373e-10 -0.237078855283645 "seurat"
"Cnih2" "Cnih2" 1.12397249307736e-13 8.06337866533696e-10 0.164518031091586 "seurat"
"Tceb1" "Tceb1" 1.6804793161884e-13 1.20557586143356e-09 0.262508382376487 "seurat"
"Rgs17" "Rgs17" 2.4937389007339e-13 1.7890082873865e-09 -0.217249151057856 "seurat"
"Kif1b" "Kif1b" 2.53150709684966e-13 1.81610319127994e-09 -0.197341676138394 "seurat"
"Smdt1" "Smdt1" 2.58165718483753e-13 1.85208086440244e-09 -0.152546193830182 "seurat"
"Uqcrb" "Uqcrb" 3.35627407799239e-13 2.40779102355174e-09 0.160417444901661 "seurat"
"Olig1" "Olig1" 3.7335919473195e-13 2.67847886300701e-09 -0.21227445346929 "seurat"
"Uchl1" "Uchl1" 4.71700169065206e-13 3.38397701287379e-09 -0.179956235348179 "seurat"
"Snrpd1" "Snrpd1" 5.00591205932815e-13 3.59124131136201e-09 -0.220166743105521 "seurat"
"Fkbp1a" "Fkbp1a" 5.7899460926274e-13 4.1537073268509e-09 0.178473908601346 "seurat"
"Cst3" "Cst3" 8.37965540307693e-13 6.01156478616739e-09 0.163214916777137 "seurat"
"Atp5j2" "Atp5j2" 9.65577831987927e-13 6.92705536668139e-09 -0.0961088563179238 "seurat"
"Nisch" "Nisch" 1.13507122128741e-12 8.14300094151588e-09 -0.232711916923873 "seurat"
"Slc14a2" "Slc14a2" 1.32461423054085e-12 9.50278248990009e-09 -0.207575266533879 "seurat"
"Gng11" "Gng11" 1.37483599866167e-12 9.86307345439885e-09 -0.15049901152566 "seurat"
"Atp5d" "Atp5d" 1.83426821166995e-12 1.31590401505202e-08 -0.157664490128611 "seurat"
"Gpx4" "Gpx4" 1.86103107660146e-12 1.33510369435389e-08 -0.139656003634747 "seurat"
"Ptprz1" "Ptprz1" 2.17571320210991e-12 1.56085665119365e-08 -0.236089227825356 "seurat"
"Wbp5" "Wbp5" 3.00488130226914e-12 2.15570184624788e-08 -0.204712269018581 "seurat"
