"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gm6483",2.36490483040594e-56,0.380636412656416,0.286,0.072,3.5315123832452e-52,"8","Gm6483"
"Herc1",2.87714044643005e-56,0.465282267387891,0.258,0.062,4.29643382865399e-52,"8","Herc1"
"Cxxc4",8.83524200107208e-56,0.353754026203469,0.272,0.066,1.31936668802009e-51,"8","Cxxc4"
"Bscl2",9.17488817481438e-56,0.371492267037715,0.276,0.069,1.37008605114503e-51,"8","Bscl2"
"Fam3c",1.00861785144783e-55,0.651660880922992,0.318,0.089,1.50616903756704e-51,"8","Fam3c"
"Usp9x",1.57227664288398e-55,0.325195415273897,0.276,0.068,2.34788071081865e-51,"8","Usp9x"
"Gabbr11",1.97783698623321e-55,0.468293468277038,0.541,0.197,2.95350397154205e-51,"8","Gabbr1"
"Ip6k2",1.97891662396414e-55,0.374484806250957,0.362,0.104,2.95511619456564e-51,"8","Ip6k2"
"Rbm254",2.52446052788198e-55,0.51360077399922,0.507,0.181,3.76977690628615e-51,"8","Rbm25"
"Fam134a",3.58223503761916e-55,0.36615868282006,0.293,0.075,5.34935158167669e-51,"8","Fam134a"
"Nbea",6.29387956066628e-55,0.378860809312778,0.267,0.065,9.39865034794296e-51,"8","Nbea"
"Fam173a",6.82313857934672e-55,0.432273455191656,0.385,0.117,1.01889928405385e-50,"8","Fam173a"
"Arl6ip51",7.43682510461618e-55,0.46814796215459,0.454,0.152,1.11054109287233e-50,"8","Arl6ip5"
"Tmem158",8.65062243809903e-55,0.492024273777931,0.387,0.119,1.29179744868133e-50,"8","Tmem158"
"Scn1b",1.23978635032284e-54,0.361909381888172,0.329,0.09,1.8513729569371e-50,"8","Scn1b"
"Ccnl2",1.49053659180269e-54,0.395387362757939,0.267,0.067,2.22581829253896e-50,"8","Ccnl2"
"Stxbp1",4.30790231382625e-54,0.458072072478159,0.495,0.171,6.43299052523674e-50,"8","Stxbp1"
"Fhl1",4.69281906911343e-54,0.382929866690242,0.253,0.061,7.00778671590708e-50,"8","Fhl1"
"Maged12",5.15270277507279e-54,0.577750905845451,0.636,0.272,7.6945310540162e-50,"8","Maged1"
"Cadm41",1.63051472073545e-53,0.486006896497721,0.431,0.142,2.43484763247424e-49,"8","Cadm4"
"Pura1",2.03236989849364e-53,0.416384810665618,0.429,0.141,3.03493796942055e-49,"8","Pura"
"Tspan131",3.09210004253086e-53,0.49153281598913,0.498,0.18,4.61743299351134e-49,"8","Tspan13"
"Clcn4",3.43949356075968e-53,0.363373497115578,0.32,0.089,5.13619573428243e-49,"8","Clcn4"
"Ptbp2",4.35743438459492e-53,0.415908814231293,0.332,0.095,6.50695676651559e-49,"8","Ptbp2"
"Zeb22",7.93489342501437e-53,0.56182513882588,0.445,0.157,1.1849176351574e-48,"8","Zeb2"
"Cadm21",9.64428939429926e-53,0.527867490016027,0.35,0.107,1.44018173525071e-48,"8","Cadm2"
"Kcnip2",1.73863835221059e-52,0.437531489204758,0.251,0.061,2.59630865135607e-48,"8","Kcnip2"
"Cdk5r11",3.16644463430938e-52,0.45390006821255,0.548,0.204,4.7284517724142e-48,"8","Cdk5r1"
"Tmem151a",4.49024261208811e-52,0.283673919433511,0.26,0.063,6.70527929263118e-48,"8","Tmem151a"
"Got1",7.08319638705458e-52,0.320806404691114,0.272,0.069,1.05773371647886e-47,"8","Got1"
"Sdc3",8.25978325237193e-52,0.463962627753693,0.325,0.095,1.2334334330767e-47,"8","Sdc3"
"Trim21",1.07461315546872e-51,0.389276576214532,0.325,0.093,1.60471982506145e-47,"8","Trim2"
"H2-D12",2.41360555211555e-51,0.290693068194228,0.329,0.094,3.60423717097416e-47,"8","H2-D1"
"Fxyd63",3.31698052293955e-51,0.749329730145549,0.71,0.378,4.95324701490563e-47,"8","Fxyd6"
"Rtn42",4.92339148570955e-51,0.498838104121888,0.548,0.218,7.35210050561008e-47,"8","Rtn4"
"Garnl3",6.14274446751108e-51,0.384603094890148,0.272,0.07,9.17296031333429e-47,"8","Garnl3"
"Phf14",9.55685386233594e-51,0.386067185559117,0.304,0.085,1.42712498726263e-46,"8","Phf14"
"Saraf2",1.36268913114008e-50,0.455611009585653,0.454,0.159,2.03490367953148e-46,"8","Saraf"
"Chd3os",1.7721959997527e-50,0.510974785851305,0.514,0.199,2.6464202864307e-46,"8","Chd3os"
"Rab11fip2",2.55704957771745e-50,0.386923295195234,0.403,0.13,3.81844213440546e-46,"8","Rab11fip2"
"Calr4",2.62480419522312e-50,0.463309850679581,0.553,0.214,3.91962010472668e-46,"8","Calr"
"Slc25a23",2.63581665079864e-50,0.452247284001853,0.371,0.117,3.93606500463761e-46,"8","Slc25a23"
"Gramd1a",3.95930906117333e-50,0.463771623146818,0.279,0.075,5.91243622105013e-46,"8","Gramd1a"
"Prpf19",4.59833504916999e-50,0.385382161116625,0.429,0.143,6.86669372892555e-46,"8","Prpf19"
"Sf3b14",3.70585978617538e-49,0.400236022276271,0.415,0.139,5.5339604186957e-45,"8","Sf3b1"
"Tcf47",4.44185769550195e-49,0.645952586424095,0.668,0.325,6.63302609669306e-45,"8","Tcf4"
"Celf3",1.72806997862423e-48,0.377437265998507,0.267,0.07,2.58052689907957e-44,"8","Celf3"
"Sst",2.66971797816166e-48,2.657929394246,0.419,0.176,3.98668985678881e-44,"8","Sst"
"Snrnp701",7.69781582280441e-48,0.432689964073517,0.406,0.136,1.14951483681938e-43,"8","Snrnp70"
"Pja2",8.73781657646899e-48,0.438022704997646,0.447,0.16,1.30481814936411e-43,"8","Pja2"
"2610524H06Rik",1.09390306656506e-47,0.295987714938368,0.304,0.086,1.6335254493016e-43,"8","2610524H06Rik"
"Ap1m1",2.97198274223615e-47,0.327027864131629,0.288,0.08,4.43806182898124e-43,"8","Ap1m1"
"Ccdc107",3.72564653570986e-47,0.344453725479575,0.325,0.097,5.56350797177554e-43,"8","Ccdc107"
"Cpsf6",5.39227870434179e-47,0.370658285762403,0.302,0.088,8.05228978919359e-43,"8","Cpsf6"
"Haghl",6.51313329384436e-47,0.480093547878639,0.429,0.149,9.72606194769778e-43,"8","Haghl"
"Rufy31",8.50936017577929e-47,0.485962333518118,0.569,0.236,1.27070275504912e-42,"8","Rufy3"
"Inafm1",1.28579699292073e-46,0.28863756228013,0.293,0.082,1.92008064952852e-42,"8","Inafm1"
"Wdr6",2.25886148215148e-46,0.278406202751713,0.272,0.073,3.3731578512968e-42,"8","Wdr6"
"Anks1b",3.45884483349196e-46,0.384307391694858,0.3,0.087,5.16509298985355e-42,"8","Anks1b"
"Tsnax",4.28237333238772e-46,0.323570920520367,0.267,0.073,6.39486809725458e-42,"8","Tsnax"
"Reep1",4.4232236001502e-46,0.336533501725549,0.283,0.08,6.60519980210429e-42,"8","Reep1"
"Abhd11",6.04811400417692e-46,0.33845043325708,0.378,0.123,9.0316486424374e-42,"8","Abhd11"
"Dfna51",6.7066949927955e-46,0.379602889612859,0.422,0.145,1.00151076327415e-41,"8","Dfna5"
"Sfpq3",7.19432216257174e-46,0.454636643588194,0.53,0.209,1.07432812853684e-41,"8","Sfpq"
"Gpm6a3",7.92371190449655e-46,0.564058000336785,0.74,0.407,1.18324789869847e-41,"8","Gpm6a"
"Tcaf1",8.22303972236141e-46,0.321099594938185,0.32,0.096,1.22794652174023e-41,"8","Tcaf1"
"Trim32",9.48597872074753e-46,0.277299834845373,0.327,0.098,1.41654120236923e-41,"8","Trim32"
"Eif4a21",1.28700371725655e-45,0.612080708169346,0.687,0.366,1.92188265097921e-41,"8","Eif4a2"
